task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
128	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (SPT5_T0_REP1)	10.84 mWh	5.21 mg	-	480 gCO₂e/kWh	130.8 %	6 GB	3s 274ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.46 mWh	2.03 mWh
113	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (SPT5_T15_REP2)	55.26 mWh	26.52 mg	-	480 gCO₂e/kWh	469.8 %	6 GB	6s 0ms	5	3.75 W	AMD EPYC 7282 16-Core Processor	29.36 mWh	3.73 mWh
119	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (SPT5_T0_REP2)	49.17 mWh	23.6 mg	-	480 gCO₂e/kWh	411.5 %	6 GB	6s 0ms	5	3.75 W	AMD EPYC 7282 16-Core Processor	25.72 mWh	3.73 mWh
121	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (SPT5_INPUT_REP1)	53.46 mWh	25.66 mg	-	480 gCO₂e/kWh	452.6 %	6 GB	6s 0ms	5	3.75 W	AMD EPYC 7282 16-Core Processor	28.29 mWh	3.73 mWh
124	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (SPT5_T15_REP1)	12.98 mWh	6.23 mg	-	480 gCO₂e/kWh	99.6 %	6 GB	4s 687ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.86 mWh	2.91 mWh
126	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (SPT5_T15_REP1)	59.06 mWh	28.35 mg	-	480 gCO₂e/kWh	506.2 %	6 GB	6s 0ms	6	3.75 W	AMD EPYC 7282 16-Core Processor	31.64 mWh	3.73 mWh
129	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (SPT5_T0_REP1)	60.54 mWh	29.06 mg	-	480 gCO₂e/kWh	520.4 %	6 GB	6s 0ms	6	3.75 W	AMD EPYC 7282 16-Core Processor	32.53 mWh	3.73 mWh
131	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS (SPT5_T0_REP2)	5.71 mWh	2.74 mg	-	480 gCO₂e/kWh	914.3 %	6 GB	337ms	10	3.75 W	AMD EPYC 7282 16-Core Processor	3.21 mWh	209.22 uWh
132	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS (SPT5_INPUT_REP1)	4.8 mWh	2.3 mg	-	480 gCO₂e/kWh	869.4 %	6 GB	297ms	9	3.75 W	AMD EPYC 7282 16-Core Processor	2.69 mWh	184.39 uWh
134	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MACS3_CALLPEAK (SPT5_T15_REP1)	9.84 mWh	4.72 mg	-	480 gCO₂e/kWh	223.3 %	6 GB	2s 0ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	4.65 mWh	1.24 mWh
135	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SPT5_INPUT_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	119.6 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
139	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MACS3_CALLPEAK (SPT5_T0_REP1)	8.01 mWh	3.85 mg	-	480 gCO₂e/kWh	170.7 %	6 GB	2s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	3.56 mWh	1.24 mWh
140	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS (SPT5_T0_REP1)	5.6 mWh	2.69 mg	-	480 gCO₂e/kWh	928.5 %	6 GB	326ms	10	3.75 W	AMD EPYC 7282 16-Core Processor	3.15 mWh	202.39 uWh
136	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (SPT5_INPUT_REP2)	13.07 mWh	6.27 mg	-	480 gCO₂e/kWh	82.7 %	6 GB	5s 280ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.55 mWh	3.28 mWh
141	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS (SPT5_T15_REP1)	4.92 mWh	2.36 mg	-	480 gCO₂e/kWh	813.8 %	6 GB	324ms	9	3.75 W	AMD EPYC 7282 16-Core Processor	2.75 mWh	201.15 uWh
143	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:FRIP_SCORE (SPT5_T15_REP1)	3.27 mWh	1.57 mg	-	480 gCO₂e/kWh	128.3 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.34 mWh	620.83 uWh
137	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PICARD_COLLECTMULTIPLEMETRICS (SPT5_INPUT_REP2)	57.34 mWh	27.52 mg	-	480 gCO₂e/kWh	599.6 %	6 GB	5s 0ms	6	3.75 W	AMD EPYC 7282 16-Core Processor	31.23 mWh	3.1 mWh
146	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MACS3_CALLPEAK (SPT5_T15_REP2)	8.27 mWh	3.97 mg	-	480 gCO₂e/kWh	178 %	6 GB	2s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	3.71 mWh	1.24 mWh
147	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MACS3_CALLPEAK (SPT5_T0_REP2)	14.98 mWh	7.19 mg	-	480 gCO₂e/kWh	227.5 %	6 GB	2s 1000ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	7.11 mWh	1.86 mWh
158	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	91.4 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
157	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	114.3 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
152	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	63.6 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
151	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	104.2 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
148	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_REP2)	2.03 mWh	976.12 ug	-	480 gCO₂e/kWh	57.3 %	6 GB	1s 0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	596.88 uWh	620.83 uWh
154	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_REP1)	2.44 mWh	1.17 mg	-	480 gCO₂e/kWh	80.6 %	6 GB	1s 0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	839.58 uWh	620.83 uWh
155	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	57.7 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
